"common_name","scientific_name","city","state","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","height_M","height_binned_M","percent_population"
"Sugar maple","Acer saccharum","Boston","Massachusetts",4.4,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",2,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossy buckthorn","Frangula alnus","Boston","Massachusetts",2.2,"fair","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",6.8,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",53.4,"good","naturally_occurring","45.72 to 60.96 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossy buckthorn","Frangula alnus","Boston","Massachusetts",6.3,"fair","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",16.2,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",23.9,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",4.5,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossy buckthorn","Frangula alnus","Boston","Massachusetts",5.1,"poor","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",10.5,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",3.3,"poor","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",12.2,"poor","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",3,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",2.6,"dead","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",4.1,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",27.7,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",2.2,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callery pear bradford","Pyrus calleryana","Boston","Massachusetts",4.3,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",5,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue spruce","Picea pungens","Boston","Massachusetts",3.9,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",27.6,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",2.5,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",18.3,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callery pear bradford","Pyrus calleryana","Boston","Massachusetts",2.6,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",52.7,"good","naturally_occurring","45.72 to 60.96 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",16.9,"good","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",35.6,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",9.1,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",18.4,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",2.1,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossy buckthorn","Frangula alnus","Boston","Massachusetts",4.7,"fair","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",24,"poor","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",6.3,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",24,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",2,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",3,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",7.5,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",8.1,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossy buckthorn","Frangula alnus","Boston","Massachusetts",13,"poor","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",7,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",29.4,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",25,"fair","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",31.3,"good","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",23.9,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",27.7,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",29.3,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",25,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",30.7,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",32.8,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",28.6,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",3.9,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern white pine","Pinus strobus","Boston","Massachusetts",34.1,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway spruce","Picea abies","Boston","Massachusetts",7.9,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway spruce","Picea abies","Boston","Massachusetts",8.2,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway spruce","Picea abies","Boston","Massachusetts",4.9,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway spruce","Picea abies","Boston","Massachusetts",4.9,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American elm","Ulmus americana","Boston","Massachusetts",42.9,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callery pear bradford","Pyrus calleryana","Boston","Massachusetts",2.3,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",4.3,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossy buckthorn","Frangula alnus","Boston","Massachusetts",2.6,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Boston","Massachusetts",29.3,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White ash","Fraxinus americana","Boston","Massachusetts",41.4,"good","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pin oak","Quercus palustris","Boston","Massachusetts",52.5,"fair","naturally_occurring","45.72 to 60.96 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American elm","Ulmus americana","Boston","Massachusetts",36.7,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American elm","Ulmus americana","Boston","Massachusetts",42.9,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American elm","Ulmus americana","Boston","Massachusetts",37.2,"good","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American elm","Ulmus americana","Boston","Massachusetts",23.1,"good","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",15.2,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American elm","Ulmus americana","Boston","Massachusetts",26.7,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",22,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",66.5,"excellent","naturally_occurring","60.96 to 76.2 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",8.8,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway maple","Acer platanoides","Boston","Massachusetts",4.4,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",28.3,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",9.6,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",6.4,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tree hardwood","Tree","Boston","Massachusetts",4.2,"dead","no_info","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",24.6,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",58.8,"excellent","naturally_occurring","45.72 to 60.96 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",7.8,"fair","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway maple","Acer platanoides","Boston","Massachusetts",12,"good","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",20,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",35.3,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",21.1,"excellent","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pear","Pyrus","Boston","Massachusetts",15.7,"fair","no_info","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrowwood","Viburnum dentatum","Boston","Massachusetts",6.3,"poor","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",39.1,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black walnut","Juglans nigra","Boston","Massachusetts",16.4,"excellent","introduced","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black cherry","Prunus serotina","Boston","Massachusetts",35,"excellent","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern red cedar","Juniperus virginiana","Boston","Massachusetts",38.2,"fair","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paradise apple","Malus pumila","Boston","Massachusetts",20,"excellent","introduced","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
